Year,Month,Day Mean,Day Max,Day Min
1974,11,30.50181818181818,30.513454545454547,30.48909090909091
1974,12,30.659354838709678,30.69683870967742,30.622774193548388
1975,1,30.931290322580644,31.039967741935484,30.830193548387097
1975,2,30.6025,30.639535714285717,30.574535714285712
1975,3,30.46225806451613,30.48748387096774,30.436806451612906
1975,4,30.38,30.400333333333332,30.360833333333336
1975,5,30.261290322580646,30.27167741935484,30.251354838709677
1975,6,30.118333333333332,30.122,30.11466666666667
1975,7,30.08967741935484,30.10148387096774,30.080645161290324
1975,8,30.03258064516129,30.035645161290322,30.026870967741935
1975,9,30.167333333333332,30.1938,30.143933333333333
1975,10,30.639032258064514,30.702483870967743,30.58690322580645
1975,11,30.627666666666666,30.683766666666667,30.580033333333336
1975,12,30.51967741935484,30.555451612903227,30.491709677419358
1976,1,30.824516129032258,30.927612903225807,30.73925806451613
1976,2,30.54137931034483,30.572241379310345,30.514206896551727
1976,3,30.544838709677418,30.57941935483871,30.511741935483872
1976,4,30.374333333333333,30.383100000000002,30.367633333333334
1976,5,30.272903225806452,30.28032258064516,30.265516129032257
1976,6,30.192999999999998,30.200300000000002,30.185233333333333
1976,7,30.22774193548387,30.243000000000002,30.214193548387097
1976,8,30.059354838709677,30.06183870967742,30.055709677419355
1976,9,30.025666666666666,30.030266666666666,30.0197
1976,10,30.451290322580647,30.503258064516128,30.408032258064516
1976,11,30.512,30.549699999999998,30.476266666666668
1976,12,30.659677419354836,30.721387096774194,30.59809677419355
1977,1,30.66032258064516,30.721806451612903,30.604032258064517
1977,2,30.780357142857145,30.852857142857143,30.72132142857143
1977,3,30.581612903225807,30.622451612903227,30.539709677419356
1977,4,30.62633333333333,30.676466666666666,30.58063333333333
1977,5,30.387096774193548,30.397032258064517,30.37832258064516
1977,6,30.195333333333334,30.200266666666668,30.191466666666667
1977,7,30.12483870967742,30.129032258064516,30.120419354838713
1977,8,30.074193548387097,30.08841935483871,30.067225806451614
1977,9,30.076,30.0804,30.070533333333334
1977,10,30.41483870967742,30.457193548387096,30.368870967741934
1977,11,30.94333333333333,31.01226666666667,30.8693
1977,12,30.61032258064516,30.63648387096774,30.578580645161292
1978,1,30.725806451612904,30.796096774193547,30.66535483870968
1978,2,30.6675,30.723142857142857,30.624428571428574
1978,3,30.82161290322581,30.9011935483871,30.756741935483873
1978,4,30.526666666666664,30.545866666666665,30.505633333333332
1978,5,30.294838709677418,30.30248387096774,30.287322580645164
1978,6,30.167333333333332,30.1737,30.161033333333332
1978,7,30.0841935483871,30.089451612903225,30.076548387096775
1978,8,30.103548387096776,30.114354838709676,30.092741935483872
1978,9,30.07766666666667,30.09303333333333,30.061366666666668
1978,10,30.202903225806452,30.23332258064516,30.16916129032258
1978,11,30.575333333333333,30.623233333333335,30.520433333333337
1978,12,30.885806451612904,30.983096774193548,30.79809677419355
1979,1,30.65967741935484,30.702483870967743,30.614645161290323
1979,2,30.503214285714286,30.534249999999997,30.474785714285712
1979,3,30.627741935483872,30.68083870967742,30.57416129032258
1979,4,30.478666666666665,30.497533333333333,30.46036666666667
1979,5,30.51322580645161,30.568,30.469645161290323
1979,6,30.37366666666667,30.389733333333332,30.360233333333333
1979,7,30.169677419354837,30.175483870967742,30.162225806451612
1979,8,30.2758064516129,30.295903225806452,30.256354838709676
1979,9,30.274333333333335,30.291066666666666,30.25766666666667
1979,10,30.490645161290324,30.53158064516129,30.452483870967743
1979,11,30.838,30.914966666666665,30.770866666666667
1979,12,31.001290322580644,31.074387096774196,30.929935483870967
1980,1,30.732580645161292,30.78409677419355,30.684193548387096
1980,2,30.79310344827586,30.86855172413793,30.734137931034482
1980,3,30.636129032258065,30.674709677419358,30.597064516129034
1980,4,30.384999999999998,30.39656666666667,30.375433333333334
1980,5,30.221290322580646,30.22848387096774,30.214258064516127
1980,6,30.229666666666667,30.240166666666667,30.217766666666666
1980,7,30.218387096774194,30.245838709677418,30.19161290322581
1980,8,30.407096774193548,30.432451612903225,30.381999999999998
